pickup_date,comp_dist_bins,post_treatment_time_dummy,Count
2010-01-14,16.0,0,2784
2010-01-14,16.0,1,3572
2010-01-14,32.0,0,575
2010-01-14,32.0,1,1284
2010-01-14,33.0,1,11
2010-01-15,0.0,0,214
2010-01-15,0.0,1,260
2010-01-15,0.25,0,562
2010-01-15,0.25,1,687
2010-01-15,0.5,0,4149
2010-01-15,0.5,1,4435
2010-01-15,1.0,0,17023
2010-01-15,1.0,1,17141
2010-01-15,2.0,0,25902
2010-01-15,2.0,1,25659
2010-01-15,4.0,0,16553
2010-01-15,4.0,1,14682
2010-01-15,8.0,0,5619
2010-01-15,8.0,1,4889
2010-01-15,16.0,0,2950
2010-01-15,16.0,1,3970
2010-01-15,32.0,0,690
2010-01-15,32.0,1,1472
2010-01-16,0.0,0,197
2010-01-16,0.0,1,227
2010-01-16,0.25,0,367
2010-01-16,0.25,1,525
2010-01-16,0.5,0,2575
2010-01-16,0.5,1,3171
2010-01-16,1.0,0,10546
2010-01-16,1.0,1,13552
2010-01-16,2.0,0,17568
2010-01-16,2.0,1,23685
2010-01-16,4.0,0,13774
2010-01-16,4.0,1,17546
2010-01-16,8.0,0,4441
2010-01-16,8.0,1,5423
2010-01-16,16.0,0,2022
2010-01-16,16.0,1,2019
2010-01-16,32.0,0,573
2010-01-16,32.0,1,978
2010-01-17,0.0,0,168
2010-01-17,0.0,1,265
2010-01-17,0.25,0,251
2010-01-17,0.25,1,693
2010-01-17,0.5,0,1996
2010-01-17,0.5,1,5299
2010-01-17,1.0,0,8970
2010-01-17,1.0,1,19913
2010-01-17,2.0,0,15419
2010-01-17,2.0,1,29130
2010-01-17,4.0,0,11778
2010-01-17,4.0,1,20014
2010-01-17,8.0,0,4126
2010-01-17,8.0,1,6297
2010-01-17,16.0,0,1980
2010-01-17,16.0,1,2657
2010-01-17,32.0,0,538
2010-01-17,32.0,1,1035
2010-01-18,0.0,0,212
2010-01-18,0.0,1,254
2010-01-18,0.25,0,357
2010-01-18,0.25,1,516
2010-01-18,0.5,0,2316
2010-01-18,0.5,1,3103
2010-01-18,1.0,0,10739
2010-01-18,1.0,1,13120
2010-01-18,2.0,0,17751
2010-01-18,2.0,1,21369
2010-01-18,4.0,0,12140
2010-01-18,4.0,1,14231
2010-01-18,8.0,0,3715
2010-01-18,8.0,1,4242
2010-01-18,16.0,0,2742
2010-01-18,16.0,1,3341
2010-01-18,32.0,0,728
2010-01-18,32.0,1,1313
2010-01-19,0.0,0,244
2010-01-19,0.0,1,270
2010-01-19,0.25,0,563
2010-01-19,0.25,1,638
2010-01-19,0.5,0,3820
2010-01-19,0.5,1,4138
